보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
계림동302,1,,광주광역시 동구 계림동 588-5,35.15828323,126.9163343,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동303,1,,광주광역시 동구 계림동 588-3,35.15838242,126.9161819,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동304,1,,광주광역시 동구 계림동 587-19,35.15863904,126.9162551,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동305,1,,광주광역시 동구 계림동 589-5,35.15864944,126.9159622,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동306,1,,광주광역시 동구 계림동 284-5,35.15755291,126.920105,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동307,1,,광주광역시 동구 계림동 284-6,35.15760422,126.9198993,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동308,1,,광주광역시 동구 계림동 284-1,35.15794164,126.9200211,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동309,1,,광주광역시 동구 계림동 288-2,35.15804291,126.9200134,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동310,1,,광주광역시 동구 계림동 284-13,35.15736008,126.919901,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동311,1,,광주광역시 동구 계림동 284-11,35.15732479,126.9196625,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동312,1,,광주광역시 동구 계림동 294-4,35.15696022,126.9192749,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동313,1,,광주광역시 동구 계림동 293-14,35.15742228,126.9191571,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동314,1,,광주광역시 동구 계림동 465-37,35.15668488,126.9182834,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동315,1,,광주광역시 동구 계림동 295-3,35.15676117,126.9190826,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동316,1,,광주광역시 동구 계림동 295-22,35.15662384,126.9192162,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동317,1,,광주광역시 동구 계림동 295-8,35.15682279,126.9194412,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동318,1,,광주광역시 동구 계림동 280-1,35.15699244,126.9196443,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동319,1,,광주광역시 동구 계림동 277-1,35.15671899,126.919815,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동320,1,,광주광역시 동구 계림동 271-24,35.15631213,126.9197083,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동321,1,,광주광역시 동구 계림동 295-16,35.15650177,126.9194717,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동322,1,,광주광역시 동구 계림동 297-35,35.15618379,126.919281,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동323,1,,광주광역시 동구 계림동 295-19,35.15623875,126.9193726,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동324,1,,광주광역시 동구 계림동 510-32,35.15531636,126.9194801,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동325,1,,광주광역시 동구 계림동 268-6,35.15590286,126.9198301,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동326,1,,광주광역시 동구 계림동 297-12,35.15611649,126.9198455,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동327,1,,광주광역시 동구 계림동 262-4,35.15568144,126.9199753,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동328,1,,광주광역시 동구 계림동 267-1,35.1555174,126.9196513,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동329,1,,광주광역시 동구 계림동 299-19,35.15567398,126.9195055,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동330,1,,광주광역시 동구 계림동 297-32,35.15603865,126.9192123,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동331,1,,광주광역시 동구 계림동 296-20,35.15649796,126.918808,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동332,1,,광주광역시 동구 계림동 296-4,35.15642241,126.9190292,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동333,1,,광주광역시 동구 계림동 296-16,35.15644723,126.9186172,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동334,1,,광주광역시 동구 계림동 294-17,35.15691273,126.9188004,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동335,1,,광주광역시 동구 계림동 264-5,35.15532419,126.9199753,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동336,1,,광주광역시 동구 계림동 266-4,35.1554532,126.9198837,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동337,1,,광주광역시 동구 계림동 262-3,35.1556015,126.9199996,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동338,1,,광주광역시 동구 계림동 268-4,35.15597209,126.9198732,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동339,1,,광주광역시 동구 계림동 271-27,35.15651747,126.919995,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동340,1,,광주광역시 동구 계림동 284-40,35.15666962,126.9201813,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동341,1,,광주광역시 동구 계림동 279-3,35.15694904,126.9200439,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동342,1,,광주광역시 동구 계림동 270-20,35.15692672,126.9200063,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동343,1,,광주광역시 동구 계림동 255,35.15526581,126.9203568,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동344,1,,광주광역시 동구 계림동 95-6,35.15587947,126.9205627,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동345,1,,광주광역시 동구 계림동 258-2,35.15558412,126.920364,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동346,1,,광주광역시 동구 계림동 1369-34,35.16045761,126.9246368,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동347,1,,광주광역시 동구 계림동 1369-34,35.16088486,126.924408,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동348,1,,광주광역시 동구 계림동 526-11,35.16113663,126.924202,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동349,1,,광주광역시 동구 계림동 524-9,35.16160712,126.9237585,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동351,1,,광주광역시 동구 계림동 524-1,35.16176605,126.9236026,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동352,1,,광주광역시 동구 계림동 116-25,35.16201108,126.9236603,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동353,1,,광주광역시 동구 계림동 524-5,35.16199635,126.9232276,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동354,1,,광주광역시 동구 계림동 116-7,35.16208678,126.9236291,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동355,1,,광주광역시 동구 계림동 116-7,35.16208678,126.9236679,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동356,1,,광주광역시 동구 계림동 116-7,35.16208678,126.9236291,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동358,1,,광주광역시 동구 계림동 116-2,35.16235974,126.9240646,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동359,1,,광주광역시 동구 계림동 116-15,35.16220856,126.9237895,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동360,1,,광주광역시 동구 계림동 1220,35.16225815,126.9242477,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동361,1,,광주광역시 동구 계림동 100-13,35.16245851,126.9241307,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동362,1,,광주광역시 동구 계림동 1221,35.16240118,126.9242626,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동363,1,,광주광역시 동구 계림동 508-10,35.16295755,126.9239479,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동364,1,,광주광역시 동구 계림동 100-1,35.16400383,126.9210861,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동365,1,,광주광역시 동구 계림동 1063,35.1634784,126.9236603,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동366,1,,광주광역시 동구 계림동 1065,35.16359329,126.9236145,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동370,1,,광주광역시 동구 계림동 1115,35.16280365,126.9247131,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동372,1,,광주광역시 동구 계림동 1074,35.1632145,126.9243774,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동373,1,,광주광역시 동구 계림동 1076,35.16334804,126.9240341,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동374,1,,광주광역시 동구 계림동 66-1,35.16052228,126.9237687,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동375,1,,광주광역시 동구 계림동 38-2,35.15930897,126.9249778,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동376,1,,광주광역시 동구 계림동 522-10,35.15982437,126.9250645,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동377,1,,광주광역시 동구 계림동 522-14,35.16001592,126.9250031,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동378,1,,광주광역시 동구 계림동 522-7,35.15990067,126.9253159,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동379,1,,광주광역시 동구 계림동 522-32,35.16015625,126.9252157,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동380,1,,광주광역시 동구 계림동 522-7,35.15997662,126.9253016,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동381,1,,광주광역시 동구 계림동 522-7,35.15991211,126.925354,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동382,1,,광주광역시 동구 계림동 522-1,35.15986633,126.9258859,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동383,1,,광주광역시 동구 계림동 522-17,35.15975379,126.9257202,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동384,1,,광주광역시 동구 계림동 522-22,35.15967422,126.9256011,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동385,1,,광주광역시 동구 계림동 522-21,35.15974483,126.9255095,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동386,1,,광주광역시 동구 계림동 522-28,35.15938187,126.9252231,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동387,1,,광주광역시 동구 계림동 522-19,35.15964508,126.9252472,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동388,1,,광주광역시 동구 계림동 522-5,35.15965787,126.9251126,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동389,1,,광주광역시 동구 계림동 521-1,35.15913354,126.9253869,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동390,1,,광주광역시 동구 계림동 521-1,35.15913354,126.925354,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동391,1,,광주광역시 동구 계림동 520-11,35.15920612,126.9255447,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동392,1,,광주광역시 동구 계림동 520-34,35.15912541,126.9256668,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동393,1,,광주광역시 동구 계림동 521-55,35.15877533,126.925719,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동394,1,,광주광역시 동구 계림동 520-31,35.1587886,126.9259858,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동395,1,,광주광역시 동구 계림동 520-44,35.15845108,126.9264127,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동396,1,,광주광역시 동구 계림동 521-42,35.15831909,126.9261017,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동397,1,,광주광역시 동구 계림동 521-45,35.15840936,126.9259338,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동398,1,,광주광역시 동구 계림동 520-5,35.15884172,126.9263302,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동399,1,,광주광역시 동구 계림동 521-6,35.15814527,126.9263894,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동400,1,,광주광역시 동구 계림동 521-35,35.15782166,126.9259395,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동401,1,,광주광역시 동구 계림동 521-22,35.15794754,126.9262085,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동402,1,,광주광역시 동구 계림동 521-32,35.15795898,126.9260887,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동403,1,,광주광역시 동구 계림동 521-23,35.15807343,126.9260635,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동404,1,,광주광역시 동구 계림동 521-36,35.15782442,126.9258423,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동405,1,,광주광역시 동구 계림동 521-33,35.15793991,126.9259033,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동406,1,,광주광역시 동구 계림동 521-29,35.15803652,126.9258107,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동407,1,,광주광역시 동구 계림동 521-28,35.15809432,126.9257634,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동408,1,,광주광역시 동구 계림동 521-11,35.15840794,126.9256668,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동409,1,,광주광역시 동구 계림동 52,35.15878304,126.9239979,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동410,1,,광주광역시 동구 계림동 191-2,35.15850137,126.9230939,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동411,1,,광주광역시 동구 계림동 191-4,35.15830994,126.9235687,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동412,1,,광주광역시 동구 계림동 191-1,35.15830542,126.9234431,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동413,1,,광주광역시 동구 계림동 191-2,35.15850137,126.9230939,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동414,1,,광주광역시 동구 계림동 191-2,35.15853882,126.9230939,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동415,1,,광주광역시 동구 계림동 191,35.15937428,126.9231945,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동416,1,,광주광역시 동구 계림동 215-27,35.15639877,126.9236645,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동417,1,,광주광역시 동구 계림동 215-56,35.15651145,126.924264,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동418,1,,광주광역시 동구 계림동 215-56,35.15651145,126.924264,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동419,1,,광주광역시 동구 계림동 218-8,35.15642929,126.9230426,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동420,1,,광주광역시 동구 계림동 218,35.15624535,126.9228511,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동421,1,,광주광역시 동구 계림동 217-18,35.15621185,126.9229361,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동422,1,,광주광역시 동구 계림동 217-4,35.15593338,126.9230654,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동423,1,,광주광역시 동구 계림동 217-16,35.15612793,126.9230448,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동424,1,,광주광역시 동구 계림동 215-5,35.15623856,126.9234296,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동425,1,,광주광역시 동구 계림동 521-10,35.15858459,126.9256592,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동426,1,,광주광역시 동구 계림동 519-17,35.15961451,126.9259796,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동427,1,,광주광역시 동구 계림동 520-18,35.1593399,126.9258707,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동428,1,,광주광역시 동구 계림동 520-25,35.15920639,126.9258552,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동429,1,,광주광역시 동구 계림동 520-22,35.15923029,126.9260294,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동430,1,,광주광역시 동구 계림동 520-9,35.15903854,126.926171,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동431,1,,광주광역시 동구 계림동 520-14,35.15895081,126.9262757,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동432,1,,광주광역시 동구 계림동 519-51,35.15912247,126.926712,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동433,1,,광주광역시 동구 계림동 519-19,35.15901184,126.9264984,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동434,1,,광주광역시 동구 계림동 520-40,35.1586312,126.9265823,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동435,1,,광주광역시 동구 계림동 519-32,35.15880585,126.9266586,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동436,1,,광주광역시 동구 계림동 520-40,35.15866089,126.926550,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동437,1,,광주광역시 동구 계림동 519-49,35.15875626,126.9267883,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동438,1,,광주광역시 동구 계림동 519-55,35.15856259,126.9269711,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동439,1,,광주광역시 동구 계림동 519-56,35.15861511,126.9270898,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동440,1,,광주광역시 동구 계림동 519-18,35.15974045,126.9260254,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동441,1,,광주광역시 동구 계림동 518-2,35.16017151,126.9268875,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동442,1,,광주광역시 동구 계림동 1747,35.16020584,126.9269562,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동443,1,,광주광역시 동구 계림동 1749,35.1600914,126.9271684,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동444,1,,광주광역시 동구 계림동 1750,35.16020192,126.9271672,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동445,1,,광주광역시 동구 계림동 1754,35.1602108,126.9273906,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동446,1,,광주광역시 동구 계림동 1758,35.16036224,126.9275729,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동447,1,,광주광역시 동구 계림동 1807,35.16015244,126.9278341,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동448,1,,광주광역시 동구 계림동 1763,35.16052246,126.9277683,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동449,1,,광주광역시 동구 계림동 1810,35.16051313,126.9281616,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동450,1,,광주광역시 동구 계림동 1731,35.16070175,126.927963,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동451,1,,광주광역시 동구 계림동 518-7,35.15987778,126.9272156,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동452,1,,광주광역시 동구 계림동 1797,35.15991039,126.9274013,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동453,1,,광주광역시 동구 계림동 518-8,35.15973165,126.9271545,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동454,1,,광주광역시 동구 계림동 518-9,35.15966034,126.9273587,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동455,1,,광주광역시 동구 계림동 518-59,35.15946198,126.927271,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동456,1,,광주광역시 동구 계림동 518-60,35.15938187,126.9272461,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동457,1,,광주광역시 동구 계림동 1800,35.15989304,126.9276027,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동458,1,,광주광역시 동구 계림동 1793,35.15995131,126.9279119,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동459,1,,광주광역시 동구 계림동 1780,35.16043365,126.9281928,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동460,1,,광주광역시 동구 계림동 1775,35.16031015,126.9284809,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동461,1,,광주광역시 동구 계림동 545-15,35.15925598,126.9278793,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동462,1,,광주광역시 동구 계림동 518-13,35.15920697,126.9278659,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동463,1,,광주광역시 동구 계림동 518-15,35.15904617,126.9276279,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동464,1,,광주광역시 동구 계림동 518-64,35.15990829,126.9266281,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동465,1,,광주광역시 동구 계림동 1743,35.16032028,126.9272537,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동466,1,,광주광역시 동구 계림동 1736,35.16056735,126.9274597,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동467,1,,광주광역시 동구 계림동 1720,35.16098554,126.9283278,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동468,1,,광주광역시 동구 계림동 1719,35.16106879,126.9284286,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동469,1,,광주광역시 동구 계림동 1714,35.16075134,126.9285355,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동470,1,,광주광역시 동구 계림동 1711,35.1608429,126.9287574,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동471,1,,광주광역시 동구 계림동 1706,35.16064529,126.928831,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동472,1,,광주광역시 동구 계림동 1707,35.16089355,126.9288547,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동473,1,,광주광역시 동구 계림동 1704,35.16051357,126.9289193,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동474,1,,광주광역시 동구 계림동 1699,35.16064453,126.929039,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동475,1,,광주광역시 동구 계림동 1695,35.16078949,126.9293567,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동476,1,,광주광역시 동구 계림동 1689,35.16098785,126.9291303,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동477,1,,광주광역시 동구 계림동 1680,35.1611824,126.928913,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동478,1,,광주광역시 동구 계림동 1682,35.16112969,126.9288559,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동479,1,,광주광역시 동구 계림동 1678,35.16127777,126.928894,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동480,1,,광주광역시 동구 계림동 1669,35.16143799,126.9285854,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동481,1,,광주광역시 동구 계림동 1674,35.16123581,126.9285049,,건축물,062-608-2894,광주광역시 동구청,2025-12-23
계림동482,1,,광주광역시 동구 계림동 1340,35.16175079,126.928009,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동483,1,,광주광역시 동구 계림동 1604,35.16202257,126.9284602,,한전주,062-608-2894,광주광역시 동구청,2025-12-23
계림동484,1,,광주광역시 동구 계림동 1604,35.16208267,126.9284602,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동485,1,,광주광역시 동구 계림동 1624,35.16161156,126.9292679,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동486,1,,광주광역시 동구 계림동 1631,35.16147995,126.9294052,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
계림동487,1,,광주광역시 동구 계림동 1634,35.1613098,126.9296315,,전용주,062-608-2894,광주광역시 동구청,2025-12-23
